1,2,3,4,5,6,7,8,9,10
2.90053159,2.904313856,2.869254496,2.907664356,2.932257719,2.919494731,2.900698253,2.90463879,2.869368249,2.908589964
2.899795225,2.905689467,2.867939823,2.903252297,2.935822955,2.937134259,2.900019441,2.906076535,2.868040218,2.904591711
2.901627942,2.903351129,2.872333759,2.910463193,2.941104594,2.908520691,2.901766796,2.903566995,2.872435104,2.911430472
2.901438217,2.904244053,2.869985699,2.905194417,2.930990008,2.915852069,2.901626779,2.904599734,2.870129478,2.906323598
2.899696704,2.903978879,2.843659281,2.916825402,2.928505403,2.920073949,2.90263765,2.907549967,2.849180035,2.919859434
2.899120998,2.905774606,2.867408969,2.902404845,2.932150385,2.935787436,2.899338791,2.90608681,2.867504244,2.9040146
2.898716899,2.90577968,2.867876674,2.903437162,2.932683417,2.935774484,2.898937956,2.90607838,2.867982009,2.904929683
2.889405737,2.885360839,2.851316277,2.900047672,2.90977469,2.891753223,2.896547561,2.893698184,2.858103172,2.907253845
2.900666429,2.904612824,2.869276902,2.907304298,2.932650392,2.918169269,2.900833358,2.904938114,2.869386386,2.908193717
2.900654966,2.904675641,2.868848294,2.908666422,2.937902254,2.928411071,2.900877564,2.905052949,2.868951329,2.909639331
2.883773872,2.883790273,2.841704554,2.891662894,2.902700965,2.896648888,2.892986347,2.894607236,2.849196711,2.900972336
2.899939033,2.904707409,2.850262772,2.916389931,2.930967538,2.918671939,2.902967637,2.907804776,2.853585427,2.919185772
2.900142156,2.904968069,2.869074381,2.908853468,2.937531415,2.927864171,2.90031762,2.905343318,2.869178915,2.90977068
2.890155967,2.890472572,2.85000653,2.900663287,2.913673763,2.895726232,2.89611856,2.898988884,2.857248433,2.906840317
2.899504709,2.905162177,2.866691396,2.904368965,2.931163199,2.936272417,2.899718617,2.905518249,2.866784655,2.905840391
2.90090749,2.902891204,2.848279307,2.914387188,2.928046137,2.926683827,2.903575677,2.905837416,2.85293593,2.917105707
2.896158622,2.901706692,2.859171488,2.910359039,2.93809939,2.925880426,2.896596881,2.902339521,2.861352958,2.912024604
2.900758739,2.89925057,2.85676116,2.909910162,2.93047526,2.934115347,2.904303986,2.905218641,2.863484771,2.91416722
2.899124921,2.903175592,2.84793918,2.917386414,2.929421256,2.918625049,2.902109803,2.906395914,2.851836508,2.920149798
2.900688022,2.898014471,2.853159385,2.907998513,2.926734257,2.931298093,2.903556773,2.901519075,2.857642851,2.910789301
2.876861237,2.900062058,2.834941572,2.899088597,2.897263358,2.885541265,2.887292601,2.904341597,2.844001103,2.90449647
2.900270522,2.903680466,2.870092523,2.917320239,2.931187342,2.951987997,2.900365173,2.903849269,2.870210537,2.918106555
2.902198228,2.902843758,2.84673533,2.916228628,2.92858592,2.923316286,2.905067022,2.906072841,2.851859165,2.919131649
2.889348993,2.885689444,2.849855337,2.900364481,2.909930886,2.888992863,2.896623453,2.894094827,2.856594336,2.907709319
2.901297676,2.904458913,2.862443613,2.91721596,2.929771225,2.909167137,2.904210388,2.905229545,2.863343736,2.91901063
2.898852704,2.901860449,2.86612369,2.915078696,2.928811426,2.909320448,2.902143955,2.902741215,2.867326137,2.918163491
2.900730745,2.904234085,2.869217781,2.90753235,2.932448783,2.918708857,2.900896764,2.904557285,2.869330519,2.90845071
2.889468588,2.884255938,2.849729383,2.898106032,2.911224729,2.891314493,2.896369758,2.892444143,2.856922436,2.905086526
2.891268186,2.889434195,2.851534775,2.902794819,2.915550225,2.898723359,2.897319458,2.897692162,2.858264776,2.908695957
2.89995096,2.905595545,2.847948366,2.91780628,2.92853593,2.918250606,2.902905898,2.90938465,2.851790139,2.920526794
2.902813992,2.902879015,2.850686971,2.91069265,2.929061735,2.933916809,2.905537574,2.90601361,2.854996344,2.913394027
2.898883239,2.900096345,2.857954106,2.916411739,2.930388827,2.91516347,2.901990787,2.902070809,2.86093873,2.91927406
2.892288614,2.890629851,2.852478299,2.900342929,2.91531615,2.900493726,2.898168228,2.898644248,2.858993598,2.906132145
2.888988586,2.884794016,2.851200984,2.900137631,2.909876327,2.892283451,2.8961975,2.893201813,2.857939383,2.90741267
2.899786896,2.905608674,2.868186828,2.903090416,2.934311392,2.935908996,2.900009237,2.905996245,2.868288786,2.904373182
2.889883443,2.88817971,2.850442012,2.898263683,2.913139406,2.893067295,2.896265544,2.896867534,2.858023788,2.9047371
2.903800817,2.902171621,2.862495927,2.912234297,2.930874207,2.902123704,2.904305927,2.902707219,2.864115719,2.913678417
2.900350216,2.899569304,2.856077143,2.90995083,2.930208586,2.932220581,2.903868506,2.905837738,2.862940451,2.914188195
2.900492324,2.903879465,2.843326886,2.917012066,2.928555087,2.919567278,2.90343003,2.907436971,2.848860027,2.92004718
2.88984062,2.885105405,2.854314789,2.898478871,2.910996716,2.890731403,2.896804195,2.893345047,2.861077676,2.90551943
2.900989786,2.904215196,2.869784432,2.906471005,2.932313866,2.918501985,2.901169629,2.904554649,2.869912743,2.907517419
2.900263633,2.898828831,2.856830771,2.909992521,2.930477799,2.932912334,2.903798487,2.905077641,2.863663572,2.914239066
2.878787879,2.879757638,2.834993561,2.888543655,2.898027898,2.887418734,2.888779703,2.892339819,2.843668094,2.899411086
2.900591234,2.904370483,2.869539622,2.907350275,2.932060744,2.920577644,2.900764315,2.904703259,2.869658672,2.908314837
2.887577542,2.884647654,2.846878737,2.897499208,2.909272029,2.8870182,2.895350895,2.893671865,2.853787349,2.905429448
2.892812296,2.890792475,2.851148726,2.902330225,2.914477733,2.897128234,2.898650586,2.89904646,2.858131152,2.908332235
2.884828877,2.885780442,2.845194739,2.89662252,2.905893073,2.89114381,2.893032761,2.895330384,2.85182593,2.904913153
2.901550847,2.902402056,2.868930333,2.907399475,2.938949114,2.921815106,2.901757084,2.902695359,2.86907574,2.908401806
2.89899943,2.905906384,2.867547326,2.903440253,2.932515579,2.935776947,2.899214783,2.906207643,2.867647922,2.904953963
2.900844944,2.898065523,2.853070369,2.90948737,2.92639464,2.930506085,2.903693711,2.901581278,2.857572806,2.912187742
2.890652177,2.890370388,2.850861595,2.901194981,2.914215586,2.8973471,2.896524654,2.898742352,2.857981924,2.907285707
2.880887868,2.882077242,2.836509335,2.890402863,2.900270954,2.890681623,2.890496598,2.894184139,2.844832677,2.900836751
2.90253849,2.902767595,2.847247678,2.91591571,2.928669253,2.922801605,2.905325653,2.905899531,2.852204048,2.918734261
